Summary
Name,"DCM-T15-10-5-20.rslt"
Start time,2020 окт 05 - 12:24
End time,2020 окт 05 - 16:53
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\DCM-T15-10-5-20.rslt"
General Experiment Info
Bath temperature,15°C
,Sample - Ch 1,Sample - Ch 1,Sample - Ch 1
Total mass,800mg,800mg,800mg
Name,"DCM-T15","DCM-T15","DCM-T15"
,Component - DCM,Component - DCM,Component - DCM
Mass,800mg,800mg,800mg
Name,"DCM","DCM","DCM"
Physical shape,"Liquid","Liquid","Liquid"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Room Temperature","Ampoule A Temperature","Ampoule B Temperature","Time markers","Comments"
8670.97650885582,14.9999992641436,1.95152250235275E-05,0.000517345654445345,2.43940312794093E-05,0.000646682068056681,25.9133544696769,15.0004384052921,15.0002338849617,"",""
8672.32307505608,14.9999999503355,1.95143092937701E-05,0.000543623129983408,2.43928866172126E-05,0.00067952891247926,25.935152798195,15.0004380033753,15.0002335938353,"",""
8673.66964125633,14.999999798331,1.95134025405708E-05,0.00056990028783079,2.43917531757135E-05,0.000712375359788487,25.9569304479372,15.0004376128235,15.0002333124109,"",""
8675.01620745659,14.9999996201785,1.95125540204379E-05,0.00059617538474317,2.43906925255474E-05,0.000745219230928962,25.9787079328356,15.0004372459277,15.0002330511806,"",""
8676.36277365685,14.9999992284659,1.95116845637449E-05,0.000622450153515129,2.43896057046811E-05,0.000778062691893912,25.9900752484168,15.0004368871316,15.0002328017587,"",""
8677.7093398571,14.9999989428476,1.95106763203462E-05,0.000648722747071696,2.43883454004328E-05,0.00081090343383962,26.0013514478727,15.000436545195,15.0002325769152,"",""
8679.05590605736,14.9999995384038,1.95096485196462E-05,0.000674994964635982,2.43870606495578E-05,0.000843743705794977,25.9894257870122,15.0004362210839,15.0002323629986,"",""
8680.40247225761,15.0000000516725,1.95084881974963E-05,0.000701264634453966,2.43856102468704E-05,0.000876580793067458,25.977278901296,15.0004359340761,15.000232171826,"",""
8681.74903845787,14.9999998697726,1.95073676965517E-05,0.000727533963360766,2.43842096206897E-05,0.000909417454200957,25.9634119103437,15.0004356538004,15.0002319997104,"",""
8683.09560465813,14.9999997150696,1.95065231164082E-05,0.000753800930096794,2.43831538955102E-05,0.000942251162620992,25.9495271710262,15.0004353875371,15.0002318672611,"",""
8684.44217085838,14.9999997941222,1.95053754735847E-05,0.000780067206659156,2.43817193419808E-05,0.000975084008323945,25.9356424317087,15.0004351272447,15.0002317481093,"",""
8685.78873705864,14.9999999475679,1.95020797009973E-05,0.000806328591221637,2.43775996262466E-05,0.00100791073902705,25.9217576923912,15.0004348793806,15.0002316566358,"",""
8687.1353032589,15.0000007516913,1.94984855874602E-05,0.000832588496819423,2.43731069843253E-05,0.00104073562102428,25.9098539098239,15.000434656717,15.0002315719617,"",""
8688.48186945915,15.0000014820968,1.94927274125116E-05,0.000858837674522054,2.43659092656395E-05,0.00107354709315257,25.8979736781203,15.0004344865071,15.0002315014404,"",""
8689.82843565941,15.0000015562016,1.94870581763373E-05,0.000885085129448776,2.43588227204216E-05,0.00110635641181097,25.897369621542,15.0004343402439,15.0002314460188,"",""
8691.17500185966,15.0000015356812,1.94820494132259E-05,0.000911319790775717,2.43525617665324E-05,0.00113914973846965,25.8969084982175,15.0004342438246,15.0002314220265,"",""
8692.52156805992,15.0000006574442,1.94772405757487E-05,0.000937553152284248,2.43465507196859E-05,0.00117194144035531,25.8989752146047,15.0004341656516,15.0002314197605,"",""
8693.86813426018,14.9999998450467,1.94739523768966E-05,0.000963776627346302,2.43424404711208E-05,0.00120472078418288,25.9010759657401,15.0004341254574,15.0002314627166,"",""
8695.21470046043,14.9999996404288,1.9470892760758E-05,0.000989999402314432,2.43386159509475E-05,0.00123749925289304,25.9031767168754,15.0004341070019,15.0002315271113,"",""
8696.56126666069,14.9999994704161,1.94696146607688E-05,0.00101621672092668,2.43370183259611E-05,0.00127027090115835,25.9052774680108,15.0004341337948,15.0002316361294,"",""
