Summary
Name,"DCM-T15-9-30-20.rslt"
Start time,2020 сен 30 - 15:40
End time,2020 окт 02 - 19:09
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\DCM-T15-9-30-20.rslt"
General Experiment Info
Bath temperature,15°C
,Sample - Ch 1,Sample - Ch 1,Sample - Ch 1
Total mass,800mg,800mg,800mg
Name,"DCM-T15","DCM-T15","DCM-T15"
,Component - DCM,Component - DCM,Component - DCM
Mass,800mg,800mg,800mg
Name,"DCM","DCM","DCM"
Physical shape,"Liquid","Liquid","Liquid"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","PCB Temperature","Ampoule A Temperature","Ampoule B Temperature","Time markers"
53460.0423343182,15.000000348102,1.07023853710566E-05,0.938198555883313,1.33779817138208E-05,1.17274819485414,56.5448335409074,15.0001400233367,15.00001014419,""
53475.4868342876,15.0000000320803,1.0699114919679E-05,0.938363814449642,1.33738936495987E-05,1.17295476806205,56.5448082954742,15.0001412505467,15.0000114032795,""
53490.9332039356,14.9999996366292,1.06963495954265E-05,0.938529068646992,1.33704369942831E-05,1.17316133580874,56.544791372407,15.0001424779053,15.0000126625214,""
53506.3777039051,14.9999996854914,1.0690948683839E-05,0.938694193281701,1.33636858547988E-05,1.17336774160213,56.544844266115,15.0001452897404,15.0000155133096,""
53521.8240735531,14.9999998129755,1.06849125863527E-05,0.938859311532292,1.33561407329409E-05,1.17357413941536,56.5449403566,15.0001481019159,15.0000183644429,""
53537.2685735226,14.9999998954459,1.06790369611418E-05,0.939024262003259,1.33487962014273E-05,1.17378032750407,56.5449467550594,15.0001496866379,15.0000199844058,""
53552.7149431705,14.9999999699583,1.06731990964325E-05,0.93918919684863,1.33414988705406E-05,1.17398649606079,56.5448977026045,15.0001512715518,15.0000216045648,""
53568.15944314,14.9999998884086,1.06695161010693E-05,0.939353999690341,1.33368951263366E-05,1.17419249961293,56.5448522454575,15.0001524852211,15.0000228536291,""
53583.605812788,14.9999997791983,1.06663517059751E-05,0.939518795486807,1.33329396324689E-05,1.17439849435851,56.5448090010695,15.0001536990374,15.0000241028446,""
53599.0503127575,14.9999997799647,1.06631062943137E-05,0.939683491319497,1.33288828678921E-05,1.17460436414937,56.5447726657335,15.0001552997027,15.0000257355116,""
53614.4966824055,14.9999998002283,1.06598408673378E-05,0.939848187800932,1.33248010841723E-05,1.17481023475116,56.5447405904302,15.0001569005618,15.0000273683763,""
53629.941182375,14.9999998804228,1.06567700802637E-05,0.940012786080998,1.33209626003296E-05,1.17501598260125,56.5447619706792,15.000153135497,15.0000236323368,""
53645.3875520229,14.9999999712603,1.06537457685453E-05,0.940177385411129,1.33171822106816E-05,1.17522173176391,56.5448163532436,15.0001493699763,15.000019895845,""
53660.8320519924,14.999999797661,1.06497673321112E-05,0.940341874815725,1.3312209165139E-05,1.17542734351966,56.5449234730118,15.000140855588,15.0000114171415,""
53676.278421402,14.9999995770955,1.06455581064504E-05,0.940506362414097,1.3306947633063E-05,1.17563295301762,56.5450631517454,15.0001323401691,15.0000029374118,""
53691.7229213715,14.9999996269066,1.06403236776503E-05,0.940670709526297,1.33004045970628E-05,1.17583838690787,56.5451554066762,15.0001258109293,14.9999964445748,""
53707.1692910194,14.9999997247521,1.06348410067774E-05,0.940835047426173,1.32935512584717E-05,1.17604380928272,56.5452184349499,15.0001192808992,14.9999899509518,""
53722.6137909889,14.9999998990522,1.06312794582694E-05,0.940999258688101,1.32890993228368E-05,1.17624907336013,56.5451716317043,15.0001179464748,14.9999886405434,""
53738.0601606369,15.0000000869667,1.06281812965839E-05,0.941163464048437,1.32852266207298E-05,1.17645433006055,56.5450571245319,15.0001166118889,14.9999873299763,""
53753.5046606064,15.00000008824,1.06249166851866E-05,0.941327569880503,1.32811458564833E-05,1.17665946235063,56.5450384466657,15.0001188264567,14.9999895839236,""
53768.9510302544,15.0000000563168,1.06216113692273E-05,0.941491676332724,1.32770142115341E-05,1.17686459541591,56.5450787993332,15.0001210412927,14.9999918381437,""
