[1] "Exp-Zero"        "9.697245e-05"    "4.877849e-06"    "1.761698e-04"   
[5] "2.487360e-01"    "5.653460e-01"    "SUFEX-Model2.R0"
Nelder-Mead Opt
pQ0=4.578e+00
Step275  Qn=2.135e-05  pQn=4.670650  pQmin=5.044811
Step276  Qn=1.099e-05  pQn=4.959188  pQmin=5.044811
Step277  Qn=1.027e-05  pQn=4.988516  pQmin=5.044811
Step278  Qn=1.122e-05  pQn=4.949897  pQmin=5.044811
Step279  Qn=1.240e-05  pQn=4.906574  pQmin=5.044811
Step280  Qn=1.099e-05  pQn=4.959056  pQmin=5.044811
Step281  Qn=1.784e-05  pQn=4.748525  pQmin=5.044811
Step282  Qn=1.230e-05  pQn=4.910250  pQmin=5.044811
Step283  Qn=9.505e-06  pQn=5.022033  pQmin=5.044811
Step284  Qn=1.293e-05  pQn=4.888515  pQmin=5.044811
Step285  Qn=1.022e-05  pQn=4.990736  pQmin=5.044811
Step286  Qn=9.030e-06  pQn=5.044296  pQmin=5.044811
Step287  Qn=9.533e-06  pQn=5.020785  pQmin=5.044811
Step288  Qn=2.229e-05  pQn=4.651968  pQmin=5.044811
Step289  Qn=1.056e-05  pQn=4.976452  pQmin=5.044811
Step290  Qn=3.168e-05  pQn=4.499236  pQmin=5.044811
Step291  Qn=1.251e-05  pQn=4.902905  pQmin=5.044811
Step292  Qn=1.015e-05  pQn=4.993472  pQmin=5.044811
Step293  Qn=1.582e-05  pQn=4.800910  pQmin=5.044811
Step294  Qn=1.077e-05  pQn=4.967906  pQmin=5.044811
Step295  Qn=2.488e-05  pQn=4.604091  pQmin=5.044811
Step296  Qn=3.347e-05  pQn=4.475370  pQmin=5.044811
Step297  Qn=1.041e-05  pQn=4.982532  pQmin=5.044811
Step298  Qn=9.081e-06  pQn=5.041883  pQmin=5.044811
Step299  Qn=1.117e-05  pQn=4.951841  pQmin=5.044811
Step300  Qn=1.797e-05  pQn=4.745510  pQmin=5.044811
Step301  Qn=1.216e-05  pQn=4.915047  pQmin=5.044811
Step302  Qn=9.659e-06  pQn=5.015068  pQmin=5.044811
Step303  Qn=1.052e-05  pQn=4.978004  pQmin=5.044811
Step304  Qn=9.382e-06  pQn=5.027703  pQmin=5.044811
Step305  Qn=9.413e-06  pQn=5.026283  pQmin=5.044811
Step306  Qn=3.082e-05  pQn=4.511114  pQmin=5.044811
Step307  Qn=2.393e-05  pQn=4.621039  pQmin=5.044811
Step308  Qn=1.067e-05  pQn=4.972033  pQmin=5.044811
Step309  Qn=1.186e-05  pQn=4.925994  pQmin=5.044811
